model_id,validation_retrieval_loss,validation_retrieval_loss_recorded_count,validation_margin,validation_margin_recorded_count,validation_mrr,validation_mrr_recorded_count,validation_hit1,validation_hit1_recorded_count,validation_hit5,validation_hit5_recorded_count,validation_hit10,validation_hit10_recorded_count,validation_query_count,validation_query_count_recorded_count,validation_gallery_count,validation_gallery_count_recorded_count,training_ip_loss_raw,training_ip_loss_weighted,p10_metrics
cfg_d48,AVAILABLE,30,AVAILABLE,30,AVAILABLE,30,AVAILABLE,30,AVAILABLE,30,AVAILABLE,30,AVAILABLE,30,AVAILABLE,30,NOT_RECORDED,NOT_RECORDED,NOT_EVALUATED
cfg_d64,AVAILABLE,25,AVAILABLE,25,NOT_RECORDED,0,NOT_RECORDED,0,NOT_RECORDED,0,NOT_RECORDED,0,AVAILABLE,25,AVAILABLE,25,NOT_RECORDED,AVAILABLE,NOT_EVALUATED
cfg_d128,AVAILABLE,21,AVAILABLE,21,AVAILABLE,21,AVAILABLE,21,AVAILABLE,21,AVAILABLE,21,AVAILABLE,21,AVAILABLE,21,NOT_RECORDED,NOT_RECORDED,AVAILABLE
cfg_k2,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,NOT_RECORDED,NOT_RECORDED,NOT_EVALUATED
cfg_k4,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,NOT_RECORDED,NOT_RECORDED,NOT_EVALUATED
cfg_k16,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,NOT_RECORDED,NOT_RECORDED,NOT_EVALUATED
cfg_intensity_05,AVAILABLE,36,AVAILABLE,36,AVAILABLE,36,AVAILABLE,36,AVAILABLE,36,AVAILABLE,36,AVAILABLE,36,AVAILABLE,36,AVAILABLE,AVAILABLE,NOT_EVALUATED
cfg_intensity_20,AVAILABLE,32,AVAILABLE,32,AVAILABLE,32,AVAILABLE,32,AVAILABLE,32,AVAILABLE,32,AVAILABLE,32,AVAILABLE,32,AVAILABLE,AVAILABLE,NOT_EVALUATED
cfg_ema990,AVAILABLE,14,AVAILABLE,14,AVAILABLE,14,AVAILABLE,14,AVAILABLE,14,AVAILABLE,14,AVAILABLE,14,AVAILABLE,14,AVAILABLE,AVAILABLE,NOT_EVALUATED
cfg_ip0,AVAILABLE,27,AVAILABLE,27,AVAILABLE,27,AVAILABLE,27,AVAILABLE,27,AVAILABLE,27,AVAILABLE,27,AVAILABLE,27,AVAILABLE,AVAILABLE,NOT_EVALUATED
cfg_lr2,AVAILABLE,25,AVAILABLE,25,AVAILABLE,25,AVAILABLE,25,AVAILABLE,25,AVAILABLE,25,AVAILABLE,25,AVAILABLE,25,AVAILABLE,AVAILABLE,NOT_EVALUATED
cfg_lr3,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,AVAILABLE,NOT_EVALUATED
cfg_lr10,AVAILABLE,11,AVAILABLE,11,AVAILABLE,11,AVAILABLE,11,AVAILABLE,11,AVAILABLE,11,AVAILABLE,11,AVAILABLE,11,AVAILABLE,AVAILABLE,NOT_EVALUATED
A1,AVAILABLE,18,AVAILABLE,18,AVAILABLE,18,AVAILABLE,18,AVAILABLE,18,AVAILABLE,18,AVAILABLE,18,AVAILABLE,18,AVAILABLE,AVAILABLE,AVAILABLE
A2,AVAILABLE,19,AVAILABLE,19,AVAILABLE,19,AVAILABLE,19,AVAILABLE,19,AVAILABLE,19,AVAILABLE,19,AVAILABLE,19,AVAILABLE,AVAILABLE,AVAILABLE
A3,AVAILABLE,23,AVAILABLE,23,AVAILABLE,23,AVAILABLE,23,AVAILABLE,23,AVAILABLE,23,AVAILABLE,23,AVAILABLE,23,AVAILABLE,AVAILABLE,AVAILABLE
A4,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,AVAILABLE,22,AVAILABLE,AVAILABLE,AVAILABLE
A5,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,26,AVAILABLE,AVAILABLE,AVAILABLE
SSV,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,AVAILABLE,24,AVAILABLE,AVAILABLE,AVAILABLE
DS,AVAILABLE,40,AVAILABLE,40,AVAILABLE,40,AVAILABLE,40,AVAILABLE,40,AVAILABLE,40,AVAILABLE,40,AVAILABLE,40,AVAILABLE,AVAILABLE,AVAILABLE
