configuration,epoch,optimizer_update,mean_total_training_loss,mean_scene_loss,mean_ip_loss,ip_loss_semantics,ending_learning_rate,validation_retrieval_loss,mean_source_separation_margin,patience,final_selected_checkpoint
cfg_d64 (historical cfg_main),5,380,6.851665384,6.214428853,0.6372365295,weighted,0.0005,2.038114071,0.1029571444,0,false
cfg_d64 (historical cfg_main),10,760,4.759728482,4.676868392,0.08286010196,weighted,0.001,1.327553272,0.1478410363,0,false
cfg_d64 (historical cfg_main),15,1140,3.659227896,3.619551753,0.03967614285,weighted,0.0009982922465,0.9072546959,0.1910260767,0,false
cfg_d64 (historical cfg_main),20,1520,2.962462901,2.929793651,0.0326692473,weighted,0.0009931806517,0.7676503062,0.2108690441,0,false
cfg_d64 (historical cfg_main),25,1900,2.516816509,2.487152262,0.02966424892,weighted,0.000984700133,0.6597738862,0.2271576077,0,false
cfg_d64 (historical cfg_main),30,2280,2.23145718,2.203930508,0.02752666769,weighted,0.0009729086209,0.6058189273,0.2367514968,0,false
cfg_d64 (historical cfg_main),35,2660,2.029272624,2.002797819,0.02647480434,weighted,0.0009578866633,0.5385164022,0.2491336316,0,false
cfg_d64 (historical cfg_main),40,3040,1.887799001,1.862650525,0.02514847673,weighted,0.0009397368756,0.5222173333,0.2545539439,0,false
cfg_d64 (historical cfg_main),45,3420,1.7764056,1.753255786,0.02314981244,weighted,0.0009185832391,0.484598726,0.2608678043,0,false
cfg_d64 (historical cfg_main),50,3800,1.680805643,1.657779386,0.0230262566,weighted,0.0008945702547,0.4925675988,0.2630039155,1,false
cfg_d64 (historical cfg_main),55,4180,1.605722235,1.582861586,0.02286065042,weighted,0.0008678619553,0.4613976181,0.2680692971,0,false
cfg_d64 (historical cfg_main),60,4560,1.545719897,1.523929352,0.02179054635,weighted,0.0008386407858,0.4317200482,0.271818459,0,false
cfg_d64 (historical cfg_main),65,4940,1.482434872,1.461336693,0.02109818244,weighted,0.0008071063563,0.4223223031,0.273532033,0,false
cfg_d64 (historical cfg_main),70,5320,1.430444327,1.409694128,0.02075019679,weighted,0.0007734740791,0.4015067816,0.280148685,0,false
cfg_d64 (historical cfg_main),75,5700,1.386469119,1.366052889,0.02041622941,weighted,0.0007379736965,0.4170785844,0.2792591751,1,false
cfg_d64 (historical cfg_main),80,6080,1.34609906,1.325801417,0.02029764459,weighted,0.0007008477123,0.4024077952,0.2793048322,2,false
cfg_d64 (historical cfg_main),85,6460,1.310536159,1.290944519,0.01959164239,weighted,0.0006623497346,0.3940638304,0.2825833261,0,false
cfg_d64 (historical cfg_main),90,6840,1.279222846,1.259700304,0.01952254249,weighted,0.0006227427436,0.3920083344,0.2838248014,0,false
cfg_d64 (historical cfg_main),95,7220,1.245256859,1.226330991,0.01892586918,weighted,0.0005822972951,0.4041652679,0.2824199796,1,false
cfg_d64 (historical cfg_main),100,7600,1.219383805,1.200501701,0.01888210581,weighted,0.0005412896727,0.3989511728,0.2837756276,2,false
cfg_d64 (historical cfg_main),105,7980,1.193582388,1.174922282,0.01866010416,weighted,0.0005,0.3806893528,0.2876026034,0,true
cfg_d64 (historical cfg_main),110,8360,1.173044253,1.1549057,0.01813855119,weighted,0.0004587103273,0.400524497,0.2836527824,1,false
cfg_d64 (historical cfg_main),115,8740,1.153306125,1.134886043,0.01842007993,weighted,0.0004177027049,0.3957764804,0.2842871547,2,false
cfg_d64 (historical cfg_main),120,9120,1.138316325,1.120408335,0.01790799007,weighted,0.0003772572564,0.3905982077,0.2853094935,3,false
cfg_d64 (historical cfg_main),125,9500,1.117296999,1.099355614,0.01794138662,weighted,0.0003376502654,0.3960058093,0.2850210667,4,false
cfg_d48,5,380,6.902753359,6.183795264,0.7189580955,derived_weighted,0.0005,2.311012983,0.07745796442,0,false
cfg_d48,10,760,4.931987131,4.820925578,0.1110615523,derived_weighted,0.001,1.677389383,0.1142845899,0,false
cfg_d48,15,1140,3.908105924,3.862051814,0.04605410915,derived_weighted,0.0009982922465,1.26898098,0.1437174678,0,false
cfg_d48,20,1520,3.248376288,3.211389877,0.03698641125,derived_weighted,0.0009931806517,1.072668195,0.1629546732,0,false
cfg_d48,25,1900,2.847429918,2.81443005,0.03299986751,derived_weighted,0.000984700133,0.9001287818,0.182269007,0,false
cfg_d48,30,2280,2.578404093,2.548101547,0.0303025459,derived_weighted,0.0009729086209,0.8747909069,0.1873893738,0,false
cfg_d48,35,2660,2.377366556,2.347965133,0.02940142343,derived_weighted,0.0009578866633,0.7776857018,0.1975992322,0,false
cfg_d48,40,3040,2.225771851,2.19771953,0.02805232123,derived_weighted,0.0009397368756,0.7279496789,0.2045740485,0,false
cfg_d48,45,3420,2.102754766,2.07607302,0.02668174568,derived_weighted,0.0009185832391,0.6891576648,0.2115189731,0,false
cfg_d48,50,3800,1.997490583,1.971971616,0.02551896698,derived_weighted,0.0008945702547,0.6849166751,0.211437881,0,false
cfg_d48,55,4180,1.914043183,1.889173598,0.02486958535,derived_weighted,0.0008678619553,0.6631388068,0.2166058123,0,false
cfg_d48,60,4560,1.834671886,1.810307719,0.02436416682,derived_weighted,0.0008386407858,0.6385428905,0.2195238471,0,false
cfg_d48,65,4940,1.763514379,1.739523219,0.02399115939,derived_weighted,0.0008071063563,0.6399623156,0.2203908116,1,false
